44.2145 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
45.6388 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x137ddcbe0>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x137ef2ef0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2880, 1800]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
45.6389 	EXP 	window1: recordFrameIntervals = False
45.8053 	EXP 	window1: recordFrameIntervals = True
45.9889 	EXP 	window1: recordFrameIntervals = False
47.2122 	EXP 	Created Welcome_Text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Welcome_Text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
47.3249 	EXP 	Sound  set volume 1.000
47.3287 	EXP 	Created Delay = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='Delay', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='Delay', units='height', win=Window(...), wrapWidth=1)
47.3375 	EXP 	Created ISI = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='ISI', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text='Sound off now', units='height', win=Window(...), wrapWidth=1)
47.3376 	EXP 	Sound  set volume 1.000
47.3431 	EXP 	Sound  set volume 1.000
47.3438 	EXP 	Sound  set volume 1.000
47.6603 	EXP 	Welcome_Text: autoDraw = True
49.8638 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
49.8645 	EXP 	New trial (rep=0, index=0): None
49.8987 	DATA 	Keypress: space
49.9100 	EXP 	Welcome_Text: autoDraw = False
49.9100 	EXP 	Delay: autoDraw = True
50.8769 	EXP 	Delay: autoDraw = False
51.1936 	EXP 	ISI: autoDraw = True
51.9768 	EXP 	ISI: autoDraw = False
52.2785 	EXP 	New trial (rep=1, index=0): None
52.2935 	EXP 	Delay: autoDraw = False
52.2935 	EXP 	ISI: autoDraw = False
52.2935 	EXP 	Delay: autoDraw = True
53.2935 	EXP 	Delay: autoDraw = False
53.6104 	EXP 	ISI: autoDraw = True
54.3932 	EXP 	ISI: autoDraw = False
54.6786 	EXP 	New trial (rep=2, index=0): None
54.6933 	EXP 	Delay: autoDraw = False
54.6933 	EXP 	ISI: autoDraw = False
54.6933 	EXP 	Delay: autoDraw = True
55.6933 	EXP 	Delay: autoDraw = False
56.0102 	EXP 	ISI: autoDraw = True
56.7935 	EXP 	ISI: autoDraw = False
57.0782 	EXP 	New trial (rep=3, index=0): None
57.0935 	EXP 	Delay: autoDraw = False
57.0935 	EXP 	ISI: autoDraw = False
57.0935 	EXP 	Delay: autoDraw = True
58.0934 	EXP 	Delay: autoDraw = False
58.4103 	EXP 	ISI: autoDraw = True
59.1935 	EXP 	ISI: autoDraw = False
59.4784 	EXP 	New trial (rep=4, index=0): None
59.4936 	EXP 	Delay: autoDraw = False
59.4936 	EXP 	ISI: autoDraw = False
59.4936 	EXP 	Delay: autoDraw = True
60.4935 	EXP 	Delay: autoDraw = False
60.8100 	EXP 	ISI: autoDraw = True
61.5935 	EXP 	ISI: autoDraw = False
61.8935 	EXP 	Delay: autoDraw = False
61.8935 	EXP 	ISI: autoDraw = False
62.2110 	EXP 	window1: mouseVisible = True
