2.2690 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
24.6365 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000018275AC25C0>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000018275954588>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1366,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
24.6366 	EXP 	window1: mouseVisible = True
24.6366 	EXP 	window1: recordFrameIntervals = False
24.8029 	EXP 	window1: recordFrameIntervals = True
24.9864 	EXP 	window1: recordFrameIntervals = False
25.2009 	EXP 	Created press_space = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='press_space', opacity=1.0, ori=0, pos=array([ 0. , -0.2]), rgb=array([255., 255., 255.]), text='Press space to continue', units='height', win=Window(...), wrapWidth=1)
25.2310 	EXP 	Created title_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='title_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Headphone Calibration Check', units='height', win=Window(...), wrapWidth=1)
25.2568 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0. , 0.1]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
25.2640 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
25.2815 	EXP 	Sound sound_1 set volume 1.000
25.3142 	EXP 	press_space: autoDraw = True
25.3142 	EXP 	title_text: autoDraw = True
26.5603 	EXP 	Imported desired_db.xlsx as conditions, 15 conditions, 1 params
26.5606 	EXP 	Created sequence: sequential, trialTypes=15, nReps=1, seed=None
26.5609 	EXP 	New trial (rep=0, index=0): OrderedDict([('desired_db', 30)])
26.5699 	DATA 	Keypress: space
26.5721 	EXP 	press_space: autoDraw = False
26.5721 	EXP 	title_text: autoDraw = False
26.5721 	EXP 	text: text = 30.0
26.5721 	EXP 	text_2: autoDraw = True
26.5721 	EXP 	text: autoDraw = True
27.2268 	DATA 	Keypress: space
27.2438 	EXP 	New trial (rep=0, index=1): OrderedDict([('desired_db', 35)])
27.2551 	EXP 	text_2: autoDraw = False
27.2551 	EXP 	text: autoDraw = False
27.2551 	EXP 	text: text = 35.0
27.2551 	EXP 	text_2: autoDraw = True
27.2551 	EXP 	text: autoDraw = True
27.5432 	EXP 	New trial (rep=0, index=2): OrderedDict([('desired_db', 40)])
27.5492 	DATA 	Keypress: space
27.5555 	EXP 	text_2: autoDraw = False
27.5555 	EXP 	text: autoDraw = False
27.5555 	EXP 	text: text = 40.0
27.5555 	EXP 	text_2: autoDraw = True
27.5555 	EXP 	text: autoDraw = True
27.7109 	EXP 	New trial (rep=0, index=3): OrderedDict([('desired_db', 45)])
27.7166 	DATA 	Keypress: space
27.7223 	EXP 	text_2: autoDraw = False
27.7223 	EXP 	text: autoDraw = False
27.7223 	EXP 	text: text = 45.0
27.7223 	EXP 	text_2: autoDraw = True
27.7223 	EXP 	text: autoDraw = True
27.8598 	EXP 	New trial (rep=0, index=4): OrderedDict([('desired_db', 50)])
27.8640 	DATA 	Keypress: space
27.8726 	EXP 	text_2: autoDraw = False
27.8726 	EXP 	text: autoDraw = False
27.8726 	EXP 	text: text = 50.0
27.8726 	EXP 	text_2: autoDraw = True
27.8726 	EXP 	text: autoDraw = True
28.0100 	EXP 	New trial (rep=0, index=5): OrderedDict([('desired_db', 55)])
28.0148 	DATA 	Keypress: space
28.0227 	EXP 	text_2: autoDraw = False
28.0227 	EXP 	text: autoDraw = False
28.0227 	EXP 	text: text = 55.0
28.0227 	EXP 	text_2: autoDraw = True
28.0227 	EXP 	text: autoDraw = True
28.1442 	EXP 	New trial (rep=0, index=6): OrderedDict([('desired_db', 60)])
28.1518 	DATA 	Keypress: space
28.1560 	EXP 	text_2: autoDraw = False
28.1560 	EXP 	text: autoDraw = False
